character,raw_count,clip,aclew_id,0,old_row,labname,homebank_id,homebank_link,Version_lock,LDC_round2,aclew_starter,child_level_id,sharing_environment,device,lab_internal_subject_id,over36mo,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,start_of_recording,number_older_sibs,mother_dob,father_dob,household_size,premature,region,medical,medical_details,ses_details,CDI_concurrent,CDI_later,age_CDI_later,Comments
h,1,random-1,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,1,random-1,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
d,1,random-2,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
ɡ,1,random-2,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,1,random-2,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,6,random-6,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,3,random-6,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
b,2,random-6,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
l,1,random-6,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
m,1,random-6,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
ʔ,1,random-6,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
b,4,random-9,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
d,3,random-9,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,2,random-9,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
l,1,random-9,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
ʔ,1,random-9,456,951,951,CAS,CM30,NA,NA,N,N,CM30,N,olympus,M-F23-C01,N,7,7,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,primary,preparatory,NA,NA,NA,0,17,24,6,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
t,2,random-1,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,1,random-1,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
j,1,random-1,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
m,1,random-1,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
r,1,random-1,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
z,1,random-1,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,4,random-5,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,2,random-5,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
j,2,random-5,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
n,1,random-5,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
d,4,random-6,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,2,random-6,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
b,1,random-6,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,1,random-6,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,2,random-7,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
j,1,random-7,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
ʔ,1,random-7,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
b,20,random-9,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,18,random-9,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
m,13,random-9,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
j,4,random-9,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
l,1,random-9,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
t,1,random-9,684,950,950,CAS,CM29,NA,NA,N,N,CM29,N,olympus,M-F22-C01,N,13,13,N,M,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,university,NA,NA,NA,0,19,31,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,2,random-1,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,4,random-2,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
b,2,random-2,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,6,random-3,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,2,random-3,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
d,1,random-3,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,4,random-4,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
j,1,random-4,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
m,1,random-4,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
p,1,random-4,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
ʔ,1,random-4,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
b,2,random-6,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
h,2,random-6,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
S,2,random-6,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
k,1,random-6,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
n,1,random-6,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
w,1,random-6,909,932,932,CAS,CM09,NA,NA,N,N,CM09,N,olympus,M-F06-C01,N,11,11,N,F,Tseltal,100,CasillasTseltal,CasillasTseltal,bhs,secondary,preparatory,NA,NA,NA,0,20,20,2,U,"Tenejapa, Chiapas, MX",N,NA,NA,N,N,N/A,NA
